"","GroupCode","Company","AccidentYear","DevelopmentYear","Lag","CumulativeIncurred","CumulativePaid","IBNR","DirectEP","CededEP","NetEP","Single","Reserve1997"
"28",337,"California Cas Grp",1990,1997,8,618,567,51,682,338,344,0,691
"29",337,"California Cas Grp",1990,1998,9,607,567,40,682,338,344,0,691
"30",337,"California Cas Grp",1990,1999,10,605,568,37,682,338,344,0,691
"31",337,"California Cas Grp",1991,1991,1,603,18,461,718,51,667,0,691
"32",337,"California Cas Grp",1991,1992,2,955,132,699,718,51,667,0,691
"33",337,"California Cas Grp",1991,1993,3,888,242,327,718,51,667,0,691
"34",337,"California Cas Grp",1991,1994,4,1343,705,378,718,51,667,0,691
"35",337,"California Cas Grp",1991,1995,5,1089,706,381,718,51,667,0,691
"36",337,"California Cas Grp",1991,1996,6,1094,706,388,718,51,667,0,691
"37",337,"California Cas Grp",1991,1997,7,825,706,119,718,51,667,0,691
"38",337,"California Cas Grp",1991,1998,8,759,706,53,718,51,667,0,691
"39",337,"California Cas Grp",1991,1999,9,756,706,50,718,51,667,0,691
"40",337,"California Cas Grp",1991,2000,10,718,706,12,718,51,667,0,691
"41",337,"California Cas Grp",1992,1992,1,994,12,908,351,62,289,0,691
"42",337,"California Cas Grp",1992,1993,2,877,115,680,351,62,289,0,691
"43",337,"California Cas Grp",1992,1994,3,771,196,503,351,62,289,0,691
"44",337,"California Cas Grp",1992,1995,4,511,202,309,351,62,289,0,691
"45",337,"California Cas Grp",1992,1996,5,485,202,283,351,62,289,0,691
"46",337,"California Cas Grp",1992,1997,6,287,202,85,351,62,289,0,691
"47",337,"California Cas Grp",1992,1998,7,247,202,45,351,62,289,0,691
"48",337,"California Cas Grp",1992,1999,8,250,202,48,351,62,289,0,691
"49",337,"California Cas Grp",1992,2000,9,216,202,14,351,62,289,0,691
"50",337,"California Cas Grp",1992,2001,10,202,202,0,351,62,289,0,691
"51",337,"California Cas Grp",1993,1993,1,633,0,594,308,150,158,0,691
"52",337,"California Cas Grp",1993,1994,2,634,60,478,308,150,158,0,691
"53",337,"California Cas Grp",1993,1995,3,507,263,210,308,150,158,0,691
"54",337,"California Cas Grp",1993,1996,4,719,391,323,308,150,158,0,691
"55",337,"California Cas Grp",1993,1997,5,494,415,79,308,150,158,0,691
"56",337,"California Cas Grp",1993,1998,6,463,421,43,308,150,158,0,691
"57",337,"California Cas Grp",1993,1999,7,466,421,45,308,150,158,0,691
"58",337,"California Cas Grp",1993,2000,8,435,421,14,308,150,158,0,691
"59",337,"California Cas Grp",1993,2001,9,421,421,0,308,150,158,0,691
"60",337,"California Cas Grp",1993,2002,10,421,421,0,308,150,158,0,691
"61",337,"California Cas Grp",1994,1994,1,341,1,340,239,8,231,0,691
"62",337,"California Cas Grp",1994,1995,2,240,18,194,239,8,231,0,691
"63",337,"California Cas Grp",1994,1996,3,361,165,162,239,8,231,0,691
"64",337,"California Cas Grp",1994,1997,4,388,276,109,239,8,231,0,691
"65",337,"California Cas Grp",1994,1998,5,302,257,43,239,8,231,0,691
"66",337,"California Cas Grp",1994,1999,6,238,172,53,239,8,231,0,691
"67",337,"California Cas Grp",1994,2000,7,191,174,14,239,8,231,0,691
"68",337,"California Cas Grp",1994,2001,8,174,174,0,239,8,231,0,691
"69",337,"California Cas Grp",1994,2002,9,174,174,0,239,8,231,0,691
"70",337,"California Cas Grp",1994,2003,10,174,174,0,239,8,231,0,691
"71",337,"California Cas Grp",1995,1995,1,16,0,16,4,-2,5,0,691
"72",337,"California Cas Grp",1995,1996,2,16,0,16,4,-2,5,0,691
"73",337,"California Cas Grp",1995,1997,3,4,0,4,4,-2,5,0,691
"74",337,"California Cas Grp",1995,1998,4,0,0,0,4,-2,5,0,691
"75",337,"California Cas Grp",1995,1999,5,5,0,5,4,-2,5,0,691
"76",337,"California Cas Grp",1995,2000,6,1,0,1,4,-2,5,0,691
"77",337,"California Cas Grp",1995,2001,7,0,0,0,4,-2,5,0,691
"78",337,"California Cas Grp",1995,2002,8,0,0,0,4,-2,5,0,691
"79",337,"California Cas Grp",1995,2003,9,0,0,0,4,-2,5,0,691
"80",337,"California Cas Grp",1995,2004,10,0,0,0,4,-2,5,0,691
"81",337,"California Cas Grp",1996,1996,1,0,0,0,0,0,0,0,691
"82",337,"California Cas Grp",1996,1997,2,0,0,0,0,0,0,0,691
"83",337,"California Cas Grp",1996,1998,3,0,0,0,0,0,0,0,691
"84",337,"California Cas Grp",1996,1999,4,0,0,0,0,0,0,0,691
"85",337,"California Cas Grp",1996,2000,5,0,0,0,0,0,0,0,691
"86",337,"California Cas Grp",1996,2001,6,0,0,0,0,0,0,0,691
"87",337,"California Cas Grp",1996,2002,7,0,0,0,0,0,0,0,691
"88",337,"California Cas Grp",1996,2003,8,0,0,0,0,0,0,0,691
"89",337,"California Cas Grp",1996,2004,9,0,0,0,0,0,0,0,691
"90",337,"California Cas Grp",1996,2005,10,0,0,0,0,0,0,0,691
"91",337,"California Cas Grp",1997,1997,1,0,0,0,0,0,0,0,691
"92",337,"California Cas Grp",1997,1998,2,0,0,0,0,0,0,0,691
"93",337,"California Cas Grp",1997,1999,3,0,0,0,0,0,0,0,691
"94",337,"California Cas Grp",1997,2000,4,0,0,0,0,0,0,0,691
"95",337,"California Cas Grp",1997,2001,5,0,0,0,0,0,0,0,691
"96",337,"California Cas Grp",1997,2002,6,0,0,0,0,0,0,0,691
"97",337,"California Cas Grp",1997,2003,7,0,0,0,0,0,0,0,691
"98",337,"California Cas Grp",1997,2004,8,0,0,0,0,0,0,0,691
"99",337,"California Cas Grp",1997,2005,9,0,0,0,0,0,0,0,691
"100",337,"California Cas Grp",1997,2006,10,0,0,0,0,0,0,0,691
"101",460,"Buckeye Ins Grp",1988,1988,1,61,21,15,391,283,108,0,1352
"102",460,"Buckeye Ins Grp",1988,1989,2,44,33,6,391,283,108,0,1352
"103",460,"Buckeye Ins Grp",1988,1990,3,61,44,4,391,283,108,0,1352
"104",460,"Buckeye Ins Grp",1988,1991,4,72,58,3,391,283,108,0,1352
"105",460,"Buckeye Ins Grp",1988,1992,5,70,69,0,391,283,108,0,1352
"106",460,"Buckeye Ins Grp",1988,1993,6,71,71,0,391,283,108,0,1352
"107",460,"Buckeye Ins Grp",1988,1994,7,71,71,0,391,283,108,0,1352
"108",460,"Buckeye Ins Grp",1988,1995,8,71,71,0,391,283,108,0,1352
"109",460,"Buckeye Ins Grp",1988,1996,9,71,71,0,391,283,108,0,1352
"110",460,"Buckeye Ins Grp",1988,1997,10,71,71,0,391,283,108,0,1352
"111",460,"Buckeye Ins Grp",1989,1989,1,128,43,30,396,207,189,0,1352
"112",460,"Buckeye Ins Grp",1989,1990,2,129,97,24,396,207,189,0,1352
"113",460,"Buckeye Ins Grp",1989,1991,3,114,103,10,396,207,189,0,1352
"114",460,"Buckeye Ins Grp",1989,1992,4,112,109,3,396,207,189,0,1352
"115",460,"Buckeye Ins Grp",1989,1993,5,109,109,0,396,207,189,0,1352
"116",460,"Buckeye Ins Grp",1989,1994,6,109,109,0,396,207,189,0,1352
"117",460,"Buckeye Ins Grp",1989,1995,7,109,109,0,396,207,189,0,1352
"118",460,"Buckeye Ins Grp",1989,1996,8,109,109,0,396,207,189,0,1352
"119",460,"Buckeye Ins Grp",1989,1997,9,109,109,0,396,207,189,0,1352
"120",460,"Buckeye Ins Grp",1989,1998,10,109,109,0,396,207,189,0,1352
"121",460,"Buckeye Ins Grp",1990,1990,1,151,26,81,459,209,250,0,1352
"122",460,"Buckeye Ins Grp",1990,1991,2,145,71,43,459,209,250,0,1352
"123",460,"Buckeye Ins Grp",1990,1992,3,145,105,50,459,209,250,0,1352
"124",460,"Buckeye Ins Grp",1990,1993,4,133,115,10,459,209,250,0,1352
"125",460,"Buckeye Ins Grp",1990,1994,5,127,124,1,459,209,250,0,1352
"126",460,"Buckeye Ins Grp",1990,1995,6,126,125,0,459,209,250,0,1352
"127",460,"Buckeye Ins Grp",1990,1996,7,127,127,0,459,209,250,0,1352
"128",460,"Buckeye Ins Grp",1990,1997,8,127,127,0,459,209,250,0,1352
"129",460,"Buckeye Ins Grp",1990,1998,9,127,127,0,459,209,250,0,1352
"130",460,"Buckeye Ins Grp",1990,1999,10,127,127,0,459,209,250,0,1352
"131",460,"Buckeye Ins Grp",1991,1991,1,155,40,71,525,222,303,0,1352
"132",460,"Buckeye Ins Grp",1991,1992,2,147,71,45,525,222,303,0,1352
"133",460,"Buckeye Ins Grp",1991,1993,3,157,87,33,525,222,303,0,1352
"134",460,"Buckeye Ins Grp",1991,1994,4,127,110,11,525,222,303,0,1352
"135",460,"Buckeye Ins Grp",1991,1995,5,116,110,0,525,222,303,0,1352
"136",460,"Buckeye Ins Grp",1991,1996,6,117,117,0,525,222,303,0,1352
"137",460,"Buckeye Ins Grp",1991,1997,7,119,119,0,525,222,303,0,1352
"138",460,"Buckeye Ins Grp",1991,1998,8,119,119,0,525,222,303,0,1352
"139",460,"Buckeye Ins Grp",1991,1999,9,119,119,0,525,222,303,0,1352
"140",460,"Buckeye Ins Grp",1991,2000,10,119,119,0,525,222,303,0,1352
"141",460,"Buckeye Ins Grp",1992,1992,1,259,-21,114,566,137,429,0,1352
"142",460,"Buckeye Ins Grp",1992,1993,2,372,149,99,566,137,429,0,1352
"143",460,"Buckeye Ins Grp",1992,1994,3,335,231,71,566,137,429,0,1352
"144",460,"Buckeye Ins Grp",1992,1995,4,255,250,0,566,137,429,0,1352
"145",460,"Buckeye Ins Grp",1992,1996,5,242,237,0,566,137,429,0,1352
"146",460,"Buckeye Ins Grp",1992,1997,6,262,262,0,566,137,429,0,1352
"147",460,"Buckeye Ins Grp",1992,1998,7,262,262,0,566,137,429,0,1352
"148",460,"Buckeye Ins Grp",1992,1999,8,262,262,0,566,137,429,0,1352
"149",460,"Buckeye Ins Grp",1992,2000,9,262,262,0,566,137,429,0,1352
"150",460,"Buckeye Ins Grp",1992,2001,10,262,262,0,566,137,429,0,1352
"151",460,"Buckeye Ins Grp",1993,1993,1,276,69,117,883,481,402,0,1352
"152",460,"Buckeye Ins Grp",1993,1994,2,366,149,144,883,481,402,0,1352
"153",460,"Buckeye Ins Grp",1993,1995,3,441,309,79,883,481,402,0,1352
"154",460,"Buckeye Ins Grp",1993,1996,4,376,374,0,883,481,402,0,1352
"155",460,"Buckeye Ins Grp",1993,1997,5,375,375,0,883,481,402,0,1352
"156",460,"Buckeye Ins Grp",1993,1998,6,375,375,0,883,481,402,0,1352
"157",460,"Buckeye Ins Grp",1993,1999,7,375,375,0,883,481,402,0,1352
"158",460,"Buckeye Ins Grp",1993,2000,8,375,375,0,883,481,402,0,1352
"159",460,"Buckeye Ins Grp",1993,2001,9,375,375,0,883,481,402,0,1352
"160",460,"Buckeye Ins Grp",1993,2002,10,375,375,0,883,481,402,0,1352
"161",460,"Buckeye Ins Grp",1994,1994,1,477,-60,343,1067,543,524,0,1352
"162",460,"Buckeye Ins Grp",1994,1995,2,385,86,159,1067,543,524,0,1352
"163",460,"Buckeye Ins Grp",1994,1996,3,295,139,70,1067,543,524,0,1352
"164",460,"Buckeye Ins Grp",1994,1997,4,211,162,0,1067,543,524,0,1352
"165",460,"Buckeye Ins Grp",1994,1998,5,210,210,0,1067,543,524,0,1352
"166",460,"Buckeye Ins Grp",1994,1999,6,210,210,0,1067,543,524,0,1352
"167",460,"Buckeye Ins Grp",1994,2000,7,234,209,0,1067,543,524,0,1352
"168",460,"Buckeye Ins Grp",1994,2001,8,214,209,0,1067,543,524,0,1352
"169",460,"Buckeye Ins Grp",1994,2002,9,209,209,0,1067,543,524,0,1352
"170",460,"Buckeye Ins Grp",1994,2003,10,209,209,0,1067,543,524,0,1352
"171",460,"Buckeye Ins Grp",1995,1995,1,607,152,359,1465,660,805,0,1352
"172",460,"Buckeye Ins Grp",1995,1996,2,687,314,206,1465,660,805,0,1352
"173",460,"Buckeye Ins Grp",1995,1997,3,665,395,78,1465,660,805,0,1352
"174",460,"Buckeye Ins Grp",1995,1998,4,599,456,0,1465,660,805,0,1352
"175",460,"Buckeye Ins Grp",1995,1999,5,601,486,0,1465,660,805,0,1352
"176",460,"Buckeye Ins Grp",1995,2000,6,565,562,0,1465,660,805,0,1352
"177",460,"Buckeye Ins Grp",1995,2001,7,564,564,0,1465,660,805,0,1352
"178",460,"Buckeye Ins Grp",1995,2002,8,564,564,0,1465,660,805,0,1352
"179",460,"Buckeye Ins Grp",1995,2003,9,564,564,0,1465,660,805,0,1352
"180",460,"Buckeye Ins Grp",1995,2004,10,564,564,0,1465,660,805,0,1352
"181",460,"Buckeye Ins Grp",1996,1996,1,751,154,434,1810,758,1052,0,1352
"182",460,"Buckeye Ins Grp",1996,1997,2,743,315,231,1810,758,1052,0,1352
"183",460,"Buckeye Ins Grp",1996,1998,3,794,508,80,1810,758,1052,0,1352
"184",460,"Buckeye Ins Grp",1996,1999,4,762,612,0,1810,758,1052,0,1352
"185",460,"Buckeye Ins Grp",1996,2000,5,706,627,0,1810,758,1052,0,1352
"186",460,"Buckeye Ins Grp",1996,2001,6,676,645,0,1810,758,1052,0,1352
"187",460,"Buckeye Ins Grp",1996,2002,7,673,645,0,1810,758,1052,0,1352
"188",460,"Buckeye Ins Grp",1996,2003,8,679,649,0,1810,758,1052,0,1352
"189",460,"Buckeye Ins Grp",1996,2004,9,649,649,0,1810,758,1052,0,1352
"190",460,"Buckeye Ins Grp",1996,2005,10,649,649,0,1810,758,1052,0,1352
"191",460,"Buckeye Ins Grp",1997,1997,1,749,166,463,1397,410,987,0,1352
"192",460,"Buckeye Ins Grp",1997,1998,2,696,306,239,1397,410,987,0,1352
"193",460,"Buckeye Ins Grp",1997,1999,3,664,442,65,1397,410,987,0,1352
"194",460,"Buckeye Ins Grp",1997,2000,4,597,563,0,1397,410,987,0,1352
"195",460,"Buckeye Ins Grp",1997,2001,5,617,576,0,1397,410,987,0,1352
"196",460,"Buckeye Ins Grp",1997,2002,6,613,589,0,1397,410,987,0,1352
"197",460,"Buckeye Ins Grp",1997,2003,7,589,589,0,1397,410,987,0,1352
"198",460,"Buckeye Ins Grp",1997,2004,8,589,589,0,1397,410,987,0,1352
"199",460,"Buckeye Ins Grp",1997,2005,9,589,589,0,1397,410,987,0,1352
"200",460,"Buckeye Ins Grp",1997,2006,10,589,589,0,1397,410,987,0,1352
"201",558,"Auto Club Ins Assn",1988,1988,1,202,0,1002,1145,113,1032,0,9
"202",558,"Auto Club Ins Assn",1988,1989,2,202,200,0,1145,113,1032,0,9
"203",558,"Auto Club Ins Assn",1988,1990,3,202,200,0,1145,113,1032,0,9
"204",558,"Auto Club Ins Assn",1988,1991,4,200,200,0,1145,113,1032,0,9
"205",558,"Auto Club Ins Assn",1988,1992,5,200,200,0,1145,113,1032,0,9
"206",558,"Auto Club Ins Assn",1988,1993,6,200,200,0,1145,113,1032,0,9
"207",558,"Auto Club Ins Assn",1988,1994,7,572,571,0,1145,113,1032,0,9
"208",558,"Auto Club Ins Assn",1988,1995,8,571,571,0,1145,113,1032,0,9
"209",558,"Auto Club Ins Assn",1988,1996,9,571,571,0,1145,113,1032,0,9
"210",558,"Auto Club Ins Assn",1988,1997,10,570,570,0,1145,113,1032,0,9
"211",558,"Auto Club Ins Assn",1989,1989,1,5,0,0,1323,148,1175,0,9
"212",558,"Auto Club Ins Assn",1989,1990,2,97,0,0,1323,148,1175,0,9
"213",558,"Auto Club Ins Assn",1989,1991,3,120,0,0,1323,148,1175,0,9
"214",558,"Auto Club Ins Assn",1989,1992,4,0,0,0,1323,148,1175,0,9
"215",558,"Auto Club Ins Assn",1989,1993,5,0,0,0,1323,148,1175,0,9
"216",558,"Auto Club Ins Assn",1989,1994,6,378,378,0,1323,148,1175,0,9
"217",558,"Auto Club Ins Assn",1989,1995,7,378,378,0,1323,148,1175,0,9
"218",558,"Auto Club Ins Assn",1989,1996,8,378,378,0,1323,148,1175,0,9
"219",558,"Auto Club Ins Assn",1989,1997,9,378,378,0,1323,148,1175,0,9
"220",558,"Auto Club Ins Assn",1989,1998,10,378,378,0,1323,148,1175,0,9
"221",558,"Auto Club Ins Assn",1990,1990,1,256,200,0,1365,323,1042,0,9
"222",558,"Auto Club Ins Assn",1990,1991,2,200,200,0,1365,323,1042,0,9
"223",558,"Auto Club Ins Assn",1990,1992,3,200,200,0,1365,323,1042,0,9
"224",558,"Auto Club Ins Assn",1990,1993,4,200,200,0,1365,323,1042,0,9
"225",558,"Auto Club Ins Assn",1990,1994,5,582,582,0,1365,323,1042,0,9
"226",558,"Auto Club Ins Assn",1990,1995,6,582,582,0,1365,323,1042,0,9
"227",558,"Auto Club Ins Assn",1990,1996,7,582,582,0,1365,323,1042,0,9
"228",558,"Auto Club Ins Assn",1990,1997,8,583,583,0,1365,323,1042,0,9
"229",558,"Auto Club Ins Assn",1990,1998,9,383,383,0,1365,323,1042,0,9
"230",558,"Auto Club Ins Assn",1990,1999,10,383,383,0,1365,323,1042,0,9
"231",558,"Auto Club Ins Assn",1991,1991,1,44,0,0,1286,332,954,0,9
"232",558,"Auto Club Ins Assn",1991,1992,2,76,0,0,1286,332,954,0,9
"233",558,"Auto Club Ins Assn",1991,1993,3,3,0,0,1286,332,954,0,9
"234",558,"Auto Club Ins Assn",1991,1994,4,361,358,0,1286,332,954,0,9
"235",558,"Auto Club Ins Assn",1991,1995,5,361,358,0,1286,332,954,0,9
"236",558,"Auto Club Ins Assn",1991,1996,6,361,358,0,1286,332,954,0,9
"237",558,"Auto Club Ins Assn",1991,1997,7,361,357,0,1286,332,954,0,9
"238",558,"Auto Club Ins Assn",1991,1998,8,361,357,0,1286,332,954,0,9
"239",558,"Auto Club Ins Assn",1991,1999,9,361,357,0,1286,332,954,0,9
"240",558,"Auto Club Ins Assn",1991,2000,10,361,357,0,1286,332,954,0,9
"241",558,"Auto Club Ins Assn",1992,1992,1,38,0,0,1385,393,992,0,9
"242",558,"Auto Club Ins Assn",1992,1993,2,5,0,0,1385,393,992,0,9
"243",558,"Auto Club Ins Assn",1992,1994,3,507,508,0,1385,393,992,0,9
"244",558,"Auto Club Ins Assn",1992,1995,4,509,508,0,1385,393,992,0,9
"245",558,"Auto Club Ins Assn",1992,1996,5,509,508,0,1385,393,992,0,9
"246",558,"Auto Club Ins Assn",1992,1997,6,508,506,0,1385,393,992,0,9
"247",558,"Auto Club Ins Assn",1992,1998,7,508,506,0,1385,393,992,0,9
"248",558,"Auto Club Ins Assn",1992,1999,8,508,506,0,1385,393,992,0,9
"249",558,"Auto Club Ins Assn",1992,2000,9,508,506,0,1385,393,992,0,9
"250",558,"Auto Club Ins Assn",1992,2001,10,508,507,0,1385,393,992,0,9
"251",558,"Auto Club Ins Assn",1993,1993,1,0,0,0,1564,414,1150,0,9
"252",558,"Auto Club Ins Assn",1993,1994,2,701,688,0,1564,414,1150,0,9
"253",558,"Auto Club Ins Assn",1993,1995,3,701,688,0,1564,414,1150,0,9
"254",558,"Auto Club Ins Assn",1993,1996,4,688,688,0,1564,414,1150,0,9
"255",558,"Auto Club Ins Assn",1993,1997,5,688,688,0,1564,414,1150,0,9
"256",558,"Auto Club Ins Assn",1993,1998,6,688,688,0,1564,414,1150,0,9
"257",558,"Auto Club Ins Assn",1993,1999,7,688,688,0,1564,414,1150,0,9
"258",558,"Auto Club Ins Assn",1993,2000,8,688,688,0,1564,414,1150,0,9
"259",558,"Auto Club Ins Assn",1993,2001,9,689,689,0,1564,414,1150,0,9
"260",558,"Auto Club Ins Assn",1993,2002,10,688,688,0,1564,414,1150,0,9
"261",558,"Auto Club Ins Assn",1994,1994,1,722,688,34,1725,526,1199,0,9
"262",558,"Auto Club Ins Assn",1994,1995,2,722,722,0,1725,526,1199,0,9
"263",558,"Auto Club Ins Assn",1994,1996,3,722,722,0,1725,526,1199,0,9
"264",558,"Auto Club Ins Assn",1994,1997,4,722,722,0,1725,526,1199,0,9
"265",558,"Auto Club Ins Assn",1994,1998,5,722,722,0,1725,526,1199,0,9
"266",558,"Auto Club Ins Assn",1994,1999,6,722,722,0,1725,526,1199,0,9
"267",558,"Auto Club Ins Assn",1994,2000,7,722,722,0,1725,526,1199,0,9
"268",558,"Auto Club Ins Assn",1994,2001,8,722,722,0,1725,526,1199,0,9
"269",558,"Auto Club Ins Assn",1994,2002,9,722,722,0,1725,526,1199,0,9
"270",558,"Auto Club Ins Assn",1994,2003,10,722,722,0,1725,526,1199,0,9
"271",558,"Auto Club Ins Assn",1995,1995,1,753,706,47,1890,604,1286,0,9
"272",558,"Auto Club Ins Assn",1995,1996,2,706,706,0,1890,604,1286,0,9
"273",558,"Auto Club Ins Assn",1995,1997,3,708,707,0,1890,604,1286,0,9
"274",558,"Auto Club Ins Assn",1995,1998,4,708,707,0,1890,604,1286,0,9
"275",558,"Auto Club Ins Assn",1995,1999,5,708,707,0,1890,604,1286,0,9
"276",558,"Auto Club Ins Assn",1995,2000,6,708,707,0,1890,604,1286,0,9
"277",558,"Auto Club Ins Assn",1995,2001,7,707,706,0,1890,604,1286,0,9
"278",558,"Auto Club Ins Assn",1995,2002,8,707,706,0,1890,604,1286,0,9
"279",558,"Auto Club Ins Assn",1995,2003,9,706,706,0,1890,604,1286,0,9
"280",558,"Auto Club Ins Assn",1995,2004,10,706,706,0,1890,604,1286,0,9
"281",558,"Auto Club Ins Assn",1996,1996,1,871,840,28,2106,696,1410,0,9
"282",558,"Auto Club Ins Assn",1996,1997,2,1042,1010,29,2106,696,1410,0,9
"283",558,"Auto Club Ins Assn",1996,1998,3,1039,1010,29,2106,696,1410,0,9
"284",558,"Auto Club Ins Assn",1996,1999,4,1041,1041,0,2106,696,1410,0,9
"285",558,"Auto Club Ins Assn",1996,2000,5,1041,1041,0,2106,696,1410,0,9
"286",558,"Auto Club Ins Assn",1996,2001,6,1040,1040,0,2106,696,1410,0,9
"287",558,"Auto Club Ins Assn",1996,2002,7,1039,1039,0,2106,696,1410,0,9
"288",558,"Auto Club Ins Assn",1996,2003,8,1039,1039,0,2106,696,1410,0,9
"289",558,"Auto Club Ins Assn",1996,2004,9,1039,1039,0,2106,696,1410,0,9
"290",558,"Auto Club Ins Assn",1996,2005,10,1039,1039,0,2106,696,1410,0,9
"291",558,"Auto Club Ins Assn",1997,1997,1,928,912,16,2373,783,1590,0,9
"292",558,"Auto Club Ins Assn",1997,1998,2,940,912,16,2373,783,1590,0,9
"293",558,"Auto Club Ins Assn",1997,1999,3,912,912,0,2373,783,1590,0,9
"294",558,"Auto Club Ins Assn",1997,2000,4,919,918,0,2373,783,1590,0,9
"295",558,"Auto Club Ins Assn",1997,2001,5,927,927,0,2373,783,1590,0,9
"296",558,"Auto Club Ins Assn",1997,2002,6,925,923,0,2373,783,1590,0,9
"297",558,"Auto Club Ins Assn",1997,2003,7,608,608,0,2373,783,1590,0,9
"298",558,"Auto Club Ins Assn",1997,2004,8,941,941,0,2373,783,1590,0,9
"299",558,"Auto Club Ins Assn",1997,2005,9,941,941,0,2373,783,1590,0,9
"300",558,"Auto Club Ins Assn",1997,2006,10,941,941,0,2373,783,1590,0,9
"301",620,"Employers Mut Co Of Des Moines",1988,1988,1,30466,2552,8923,63080,12052,51028,0,168628
"302",620,"Employers Mut Co Of Des Moines",1988,1989,2,25981,7260,4195,63080,12052,51028,0,168628
"303",620,"Employers Mut Co Of Des Moines",1988,1990,3,25958,11493,3954,63080,12052,51028,0,168628
"304",620,"Employers Mut Co Of Des Moines",1988,1991,4,24262,15059,9,63080,12052,51028,0,168628
"305",620,"Employers Mut Co Of Des Moines",1988,1992,5,22987,16970,0,63080,12052,51028,0,168628
"306",620,"Employers Mut Co Of Des Moines",1988,1993,6,22157,18468,0,63080,12052,51028,0,168628
"307",620,"Employers Mut Co Of Des Moines",1988,1994,7,20897,19873,0,63080,12052,51028,0,168628
"308",620,"Employers Mut Co Of Des Moines",1988,1995,8,21279,20579,0,63080,12052,51028,0,168628
"309",620,"Employers Mut Co Of Des Moines",1988,1996,9,21733,21565,0,63080,12052,51028,0,168628
"310",620,"Employers Mut Co Of Des Moines",1988,1997,10,21714,21649,0,63080,12052,51028,0,168628
"311",620,"Employers Mut Co Of Des Moines",1989,1989,1,35634,3342,11101,64486,12327,52159,0,168628
"312",620,"Employers Mut Co Of Des Moines",1989,1990,2,33386,7904,7209,64486,12327,52159,0,168628
"313",620,"Employers Mut Co Of Des Moines",1989,1991,3,36898,16089,4097,64486,12327,52159,0,168628
"314",620,"Employers Mut Co Of Des Moines",1989,1992,4,32131,22372,1,64486,12327,52159,0,168628
"315",620,"Employers Mut Co Of Des Moines",1989,1993,5,33884,26139,0,64486,12327,52159,0,168628
"316",620,"Employers Mut Co Of Des Moines",1989,1994,6,33270,29046,0,64486,12327,52159,0,168628
"317",620,"Employers Mut Co Of Des Moines",1989,1995,7,32825,30325,0,64486,12327,52159,0,168628
"318",620,"Employers Mut Co Of Des Moines",1989,1996,8,31973,31301,0,64486,12327,52159,0,168628
"319",620,"Employers Mut Co Of Des Moines",1989,1997,9,31764,31375,0,64486,12327,52159,0,168628
"320",620,"Employers Mut Co Of Des Moines",1989,1998,10,31791,31481,0,64486,12327,52159,0,168628
"321",620,"Employers Mut Co Of Des Moines",1990,1990,1,47665,4336,17252,74261,11480,62781,0,168628
"322",620,"Employers Mut Co Of Des Moines",1990,1991,2,46642,12537,7265,74261,11480,62781,0,168628
"323",620,"Employers Mut Co Of Des Moines",1990,1992,3,50198,22030,4639,74261,11480,62781,0,168628
"324",620,"Employers Mut Co Of Des Moines",1990,1993,4,46833,28636,0,74261,11480,62781,0,168628
